Full Name,Age,City,Are you currently a student ?,What is your highest/current education level ?,Are you currently employed ?,"If Yes, what is your monthly income ?",Do you use UPI ?,"If yes, how many UPI transactions do you make in a week?",What is your average monthly spending ?,Do you pay rent ?,"If yes, how much you pay monthly ?",How do you pay your rent ?,"Do you pay bills (electricity, mobile, internet) on time?",How much do you spend on mobile recharges monthly?,How many subscriptions do you pay for?,List your paid subscriptions,How often are you unable to pay subscriptions on time?,What phone type do you use?,Phone brand and model ?,How many hours/day do you use your phone?,Do you actively save a portion of your income?,"If yes, how much do you save per month","If you save money, where do you keep your savings ?",Do you use savings tracking applications ?,Which financial apps do you use regularly?,"Do you have any active EMIs or loans (student loan, mobile EMI, etc.)?","If yes, total EMI amount paid per month?","Have you ever used Buy Now Pay Later (BNPL) services (ZestMoney, LazyPay, Simpl)?",Do you have a financial goal you're saving for?,"If yes, what is the goal?",How soon do you aim to achieve this goal (months)?,Do you have an emergency fund that can cover 3+ months of expenses?,"If faced with an emergency, how would you manage funds?",Do you invest in crypto ?,Do you invest in any of the following ?,Do you participate in charity donations or volunteering?,How long have you been living at your current address (months) ?,How long have you been at your current job/college (months)?
Charan Deshpande,24,Gwalior,Yes,PostGraduate,Yes,14000,Yes,31,9000,No,0,,Sometimes,299,0,,Never,Budget,Redmi Note 14 Pro,7,Yes,4000,Cash,Yes,"Upstox, Fi",No,0,No,No,,,No,Savings,No,PPF,No,60,42
Girindra Kant,20,Godda,Yes,UnderGraduate,No,0,Yes,25,6000,Yes,11500,UPI,Sometimes,399,0,,Never,Budget,Samsung A73,9,No,0,,No,"Fi, PhonePe, Groww",No,0,No,Yes,Travel,3.0,No,BNPL,No,,No,13,20
Dakshesh Murty,24,Ghaziabad,Yes,PostGraduate,Yes,33000,Yes,10,26500,Yes,14500,UPI,Always,249,2,"Streaming, Educational",Never,Flag-Ship,Redmi Note 10 Pro,4,Yes,4500,Bank,Yes,PhonePe,No,0,No,No,,,Yes,Savings,Yes,,No,48,3
Reva Tandon,22,Kanpur,Yes,PostGraduate,Yes,39000,Yes,34,34500,No,0,,Always,299,1,Streaming,Sometimes,Mid-Range,Moto G40 Fusion,5,Yes,4000,Bank,No,"Paytm, Groww, Upstox, Others",No,0,Yes,No,,,Yes,Savings,No,"Stocks, Other",Yes,41,18
Januja Chandran,21,Banaras,Yes,UnderGraduate,No,0,Yes,35,7500,No,0,,Always,399,0,,Never,Flag-Ship,Realme 9 Pro,4,No,0,,No,CoinSwitch,No,0,No,Yes,Travel,24.0,No,Savings,No,Other,No,32,40
Gagan Chakraborty,22,Rajkot,Yes,UnderGraduate,Yes,41000,Yes,18,33500,Yes,12500,Cash,Always,399,2,"Music, Others",Sometimes,Mid-Range,Redmi 10 Prime,10,Yes,9500,Bank,No,CoinSwitch,No,0,No,No,,,No,BNPL,No,Stocks,No,18,20
Tanmayi Mohan,21,Gwalior,Yes,UnderGraduate,No,0,Yes,18,6500,No,0,,Always,499,3,"Educational, Others, Music",Always,Flag-Ship,Poco X4 GT,10,No,0,,Yes,,No,0,No,No,,,No,Credit Card,Yes,"Fixed Deposits, Other, PPF",Yes,37,10
Urvi Pandit,22,Nashik,Yes,PostGraduate,Yes,15000,Yes,14,13000,Yes,6000,Bank Transfer,Sometimes,299,2,"Others, Music",Never,Flag-Ship,Samsung M51,8,Yes,1500,Bank,No,,No,0,No,Yes,Vehicles,23.0,Yes,Savings,No,,No,7,45
Bhanumati Sem,25,Patna,Yes,PostGraduate,Yes,54000,Yes,26,55000,No,0,,Always,299,1,Educational,Never,Mid-Range,Realme GT 2 Pro,4,No,0,,No,"GPay, Others, Fi",No,0,No,No,,,No,Credit Card,No,PPF,Yes,58,28
Xalak Ray,19,Coimbatore,Yes,UnderGraduate,Yes,37000,Yes,23,29500,Yes,11000,UPI,Never,299,1,Others,Sometimes,Mid-Range,Samsung M33 5G,7,Yes,9500,Bank,Yes,"Paytm, Fi",No,0,No,Yes,Travel,14.0,No,Friends,Yes,Mutual Funds,Yes,59,27
Gopal Chacko,22,Warangal,Yes,UnderGraduate,Yes,25000,Yes,13,19000,No,0,,Always,399,1,Streaming,Never,Mid-Range,Realme Narzo N55,9,Yes,6000,Bank,Yes,"GPay, Jar",No,0,No,Yes,Travel,8.0,Yes,Savings,No,"PPF, Fixed Deposits, Stocks",No,40,26
Victor Parekh,22,Madurai,Yes,UnderGraduate,Yes,23000,Yes,12,22000,Yes,7000,UPI,Always,399,3,"Others, Streaming, Music",Never,Mid-Range,Poco X4 GT,4,No,0,,Yes,Paytm,No,0,No,Yes,Emergency Fund,24.0,Yes,Savings,No,Stocks,No,47,22
Arjun Chawla,22,Mumbai,Yes,UnderGraduate,Yes,77000,Yes,18,75500,Yes,12500,UPI,Always,599,2,"Educational, Streaming",Sometimes,Mid-Range,Redmi Note 12 Pro,6,Yes,8500,Wallet Apps,No,"Groww, Fi",No,0,No,Yes,Travel,8.0,Yes,Savings,No,,Yes,13,45
Ekani Mistry,21,Bhopal,Yes,UnderGraduate,Yes,44000,Yes,11,37000,No,0,,Always,199,1,Social Media,Sometimes,Mid-Range,Redmi 10 Prime,8,Yes,7000,Bank,Yes,"CoinSwitch, Paytm",No,0,Yes,No,,,No,Credit Card,No,Stocks,No,55,21
Wazir Basu,23,Chandigarh,Yes,UnderGraduate,No,0,Yes,12,4000,Yes,11000,UPI,Sometimes,199,2,"Educational, Streaming",Never,Flag-Ship,Samsung M32,9,No,0,,No,"Groww, CoinSwitch, Fi",Yes,3000,No,Yes,Vehicles,12.0,No,Credit Card,No,,No,10,36
Siddharth Mishra,19,Nashik,Yes,UnderGraduate,Yes,18000,No,0,11000,Yes,5000,Bank Transfer,Sometimes,499,0,,Never,Flag-Ship,Moto Edge 40,5,Yes,6000,Bank,No,"Jar, Paytm, CoinSwitch",No,0,No,Yes,Other,14.0,No,Other,No,,No,40,46
Vamakshi Behl,21,Surat,Yes,UnderGraduate,Yes,38000,Yes,24,38500,No,0,,Always,199,3,"Educational, Social Media, Others",Never,Mid-Range,Poco F5,7,No,0,,No,"GPay, Others, Jar, CoinSwitch",No,0,Yes,Yes,Vehicles,11.0,No,Credit Card,No,Stocks,No,19,18
Abhiram Bansal,24,Faridabad,Yes,UnderGraduate,Yes,29000,Yes,11,28000,No,0,,Always,249,2,"Educational, Music",Never,Mid-Range,Poco M4 Pro,9,Yes,3500,Bank,Yes,"Groww, Paytm",Yes,6000,No,No,,,Yes,Savings,Yes,,Yes,29,8
Samarth Virk,25,Jamshedpur,Yes,PostGraduate,No,0,Yes,29,5500,Yes,5000,Bank Transfer,Always,299,1,Streaming,Sometimes,Mid-Range,Samsung M32,5,No,0,,Yes,"Jar, CoinSwitch",No,0,No,Yes,Travel,18.0,Yes,Savings,No,"PPF, Stocks",No,41,30
Oliver Sheth,19,Kanpur,Yes,UnderGraduate,Yes,16000,Yes,35,12500,No,0,,Sometimes,249,0,,Never,Mid-Range,Realme GT 2 Pro,3,Yes,4000,Cash,No,,No,0,No,Yes,Other,13.0,No,BNPL,No,"Other, Mutual Funds, Fixed Deposits",Yes,56,40
Rushil Tiwari,22,Kolkata,Yes,UnderGraduate,Yes,24000,Yes,15,25500,Yes,12500,UPI,Sometimes,299,1,Streaming,Sometimes,Mid-Range,Redmi Note 11,10,No,0,,No,"Paytm, Fi",No,0,Yes,Yes,Emergency Fund,14.0,Yes,Savings,No,,No,29,33
Liam Chawla,18,Nashik,Yes,UnderGraduate,No,0,Yes,28,6000,Yes,8000,UPI,Never,399,1,Social Media,Sometimes,Budget,Poco M6 Pro,7,No,0,,Yes,Groww,Yes,6500,No,No,,,No,Credit Card,No,,Yes,15,43
Xiti Kara,23,Ghaziabad,Yes,PostGraduate,Yes,59000,No,0,38500,No,0,,Sometimes,299,0,,Never,Mid-Range,Moto Edge 20,3,Yes,19500,Bank,No,Paytm,Yes,5000,No,Yes,Travel,22.0,Yes,Savings,No,,No,21,36
Nilima Varkey,18,Jamshedpur,Yes,UnderGraduate,No,0,Yes,22,7000,No,0,,Always,499,0,,Never,Mid-Range,Samsung M53,4,No,0,,No,Upstox,No,0,Yes,No,,,No,Friends,No,Other,No,49,22
Yutika Setty,18,Madurai,Yes,UnderGraduate,Yes,22000,No,0,16000,No,0,,Always,299,0,,Never,Mid-Range,Poco F5,10,Yes,5000,Wallet Apps,No,"Paytm, Fi, CoinSwitch, Upstox",No,0,No,Yes,Emergency Fund,11.0,No,Friends,No,,No,42,46
Aayush Thaman,22,Salem,Yes,PostGraduate,No,0,Yes,10,8000,No,0,,Sometimes,399,1,Educational,Sometimes,Flag-Ship,Poco X4 GT,4,No,0,,No,"Upstox, Groww, Fi",No,0,Yes,Yes,Gadget,10.0,Yes,Savings,Yes,,Yes,40,17
Rushil Rama,24,Madurai,Yes,PostGraduate,Yes,61000,Yes,11,63000,Yes,14000,UPI,Always,399,0,,Never,Mid-Range,Samsung M14 5G,8,No,0,,Yes,"Fi, PhonePe",Yes,4500,No,Yes,Vehicles,16.0,No,BNPL,Yes,"Other, Mutual Funds, PPF",Yes,11,17
Kevin Ravel,20,Bengaluru,Yes,UnderGraduate,Yes,32000,Yes,23,25000,Yes,10000,Cash,Always,299,0,,Never,Flag-Ship,Realme Narzo N55,7,Yes,7500,Wallet Apps,No,"Fi, Jar, CoinSwitch, GPay",No,0,No,Yes,Vehicles,22.0,No,Other,No,Mutual Funds,Yes,31,3
Varsha Kala,19,Hubli,Yes,UnderGraduate,Yes,24000,Yes,11,21500,Yes,13000,UPI,Always,399,3,"Streaming, Others, Social Media",Never,Flag-Ship,Redmi Note 12 Pro,4,Yes,4500,Bank,Yes,"Others, GPay",Yes,8500,Yes,No,,,Yes,Savings,No,"Mutual Funds, Stocks",Yes,31,36
Ekapad Chaudhuri,22,Bengaluru,Yes,PostGraduate,Yes,34000,No,0,26000,Yes,18000,UPI,Sometimes,299,1,Music,Never,Budget,Moto G82,3,Yes,10500,Bank,Yes,PhonePe,No,0,No,Yes,Vehicles,18.0,No,Friends,No,"Fixed Deposits, Mutual Funds",Yes,36,38
Jagat Mital,19,Amritsar,Yes,UnderGraduate,Yes,19000,Yes,34,18000,Yes,13500,Bank Transfer,Always,249,1,Streaming,Never,Budget,Redmi 9,7,Yes,2500,Bank,Yes,Others,No,0,No,Yes,Gadget,15.0,No,Savings,Yes,,No,9,28
Jack Sangha,24,Jamshedpur,Yes,UnderGraduate,Yes,26000,Yes,12,17000,No,0,,Always,299,2,"Music, Others",Never,Mid-Range,Moto G82,6,Yes,7500,Bank,Yes,"Paytm, GPay, Jar",No,0,No,Yes,Travel,24.0,Yes,Savings,Yes,,No,48,41
Jeremiah Natt,18,Meerut,Yes,UnderGraduate,Yes,50000,Yes,33,46000,Yes,13000,UPI,Always,249,0,,Never,Mid-Range,Poco X3 Pro,9,Yes,5500,Bank,Yes,,No,0,No,Yes,Vehicles,8.0,Yes,Savings,Yes,"PPF, Other, Mutual Funds",Yes,57,3
Hema Naidu,24,Ajmer,Yes,UnderGraduate,Yes,42000,Yes,23,31500,No,0,,Always,299,0,,Never,Budget,Samsung A73,9,Yes,13500,Bank,No,"Paytm, Jar",No,0,No,Yes,Travel,24.0,Yes,Savings,No,,No,48,39
Darsh Ray,18,Hyderabad,Yes,UnderGraduate,Yes,28000,Yes,26,30000,Yes,18500,Bank Transfer,Always,299,0,,Never,Budget,Moto G60,8,No,0,,Yes,"Groww, PhonePe, Fi",Yes,1500,No,No,,,Yes,Savings,No,PPF,No,24,25
Pahal Puri,22,Srikakulam,Yes,PostGraduate,No,0,Yes,18,6000,No,0,,Always,299,2,"Others, Social Media",Never,Mid-Range,Poco X6 Neo,7,No,0,,No,"Paytm, Fi",No,0,Yes,Yes,Travel,11.0,No,Savings,No,,No,38,39
Hemani Bhalla,18,Jodhpur,Yes,UnderGraduate,Yes,36000,Yes,11,28500,No,0,,Always,249,3,"Social Media, Others, Streaming",Never,Budget,Poco M6 Pro,5,Yes,7500,Bank,Yes,Upstox,No,0,No,No,,,No,Friends,No,"Stocks, Other",No,7,25
Keya More,24,Mangalore,Yes,UnderGraduate,Yes,73000,Yes,26,57000,Yes,14000,Bank Transfer,Sometimes,249,2,"Social Media, Educational",Never,Budget,Moto G60,4,Yes,14000,Cash,Yes,"Upstox, Others, CoinSwitch",No,0,No,Yes,Emergency Fund,5.0,Yes,Savings,No,"Fixed Deposits, Other",No,9,16
Reyansh Upadhyay,20,Ajmer,Yes,UnderGraduate,No,0,Yes,23,2000,Yes,9500,UPI,Always,199,1,Music,Sometimes,Budget,Samsung A73,9,No,0,,Yes,Others,No,0,No,No,,,Yes,Savings,Yes,"Fixed Deposits, Other, Mutual Funds",No,7,7
Zayan Sawhney,24,Noida,Yes,UnderGraduate,Yes,17000,Yes,31,15000,Yes,16500,UPI,Always,499,3,"Music, Others, Streaming",Never,Flag-Ship,Samsung A52,8,Yes,1500,Bank,No,CoinSwitch,No,0,No,No,,,No,Friends,Yes,Other,No,44,46
Sai Keer,20,Patna,Yes,UnderGraduate,Yes,68000,Yes,25,61000,Yes,10500,UPI,Always,299,3,"Educational, Streaming, Music",Never,Budget,Samsung M12,6,Yes,8500,Cash,Yes,Paytm,No,0,Yes,Yes,Other,9.0,Yes,Savings,Yes,"PPF, Other",No,25,10
Alka Bhagat,20,Mumbai,Yes,UnderGraduate,Yes,16000,Yes,24,13000,Yes,10500,UPI,Always,399,0,,Never,Budget,Poco X3 Pro,9,Yes,2000,Bank,No,"Jar, GPay",Yes,6000,No,Yes,Travel,7.0,No,Savings,No,,Yes,32,45
Pratyush Ben,25,Gwalior,Yes,PostGraduate,Yes,78000,Yes,15,61000,Yes,7000,UPI,Always,299,2,"Social Media, Streaming",Always,Mid-Range,Redmi Note 12 Pro,9,Yes,13500,Bank,Yes,Upstox,No,0,No,No,,,No,Credit Card,No,Stocks,Yes,30,45
Arin Sant,23,Nashik,Yes,PostGraduate,Yes,29000,Yes,10,25000,Yes,12000,Bank Transfer,Sometimes,399,2,"Educational, Social Media",Sometimes,Mid-Range,Realme Narzo 60 Pro,7,Yes,6000,Bank,Yes,"Jar, Upstox, Groww",No,0,No,Yes,Travel,7.0,No,BNPL,Yes,,No,20,37
Jhalak Dixit,20,Indore,Yes,UnderGraduate,Yes,30000,Yes,35,26500,No,0,,Always,499,0,,Never,Budget,Redmi Note 11,8,Yes,4500,Bank,Yes,"Fi, PhonePe, Groww",No,0,No,Yes,Travel,10.0,No,Credit Card,No,Mutual Funds,Yes,39,9
Aachal Parmer,24,Delhi,Yes,PostGraduate,No,0,Yes,24,4500,Yes,18500,Cash,Never,199,3,"Streaming, Social Media, Music",Sometimes,Flag-Ship,Realme 9 Pro,6,Yes,1000,Bank,No,"Paytm, Fi",No,0,No,Yes,Travel,14.0,No,Friends,No,"Other, PPF",Yes,52,38
Gunbir Venkatesh,25,Noida,Yes,PostGraduate,Yes,25000,Yes,14,19500,No,0,,Always,399,0,,Never,Budget,Realme 9 Pro,4,Yes,7000,Investment Products,No,"Jar, Upstox",Yes,6000,No,Yes,Gadget,9.0,Yes,Savings,Yes,"Mutual Funds, Other",No,47,28
Indira Suresh,22,Mysuru,Yes,UnderGraduate,No,0,Yes,35,8500,Yes,8000,UPI,Always,499,0,,Never,Mid-Range,Samsung M51,5,No,0,,Yes,"PhonePe, Upstox, GPay",No,0,No,Yes,Emergency Fund,9.0,Yes,Savings,Yes,,No,38,44
Alka Chand,21,Indore,Yes,UnderGraduate,Yes,26000,Yes,11,20000,Yes,14500,UPI,Sometimes,399,1,Music,Sometimes,Mid-Range,Samsung A23,8,Yes,6500,Bank,Yes,,No,0,No,Yes,Gadget,14.0,No,Friends,No,PPF,No,56,13
Arya Nadig,23,Kolkata,Yes,UnderGraduate,Yes,34000,Yes,17,31000,No,0,,Always,199,1,Others,Never,Mid-Range,Poco X6 Neo,8,Yes,5500,Bank,Yes,Others,Yes,4500,No,No,,,No,Credit Card,Yes,,Yes,28,29
Harinakshi Ben,18,Delhi,Yes,UnderGraduate,Yes,75000,Yes,10,63000,No,0,,Always,399,0,,Never,Mid-Range,Samsung A13,6,Yes,13500,Investment Products,No,"Upstox, Fi, PhonePe",No,0,No,No,,,No,Friends,No,,No,55,15
Veer Vora,18,Surat,Yes,UnderGraduate,Yes,45000,Yes,10,43000,No,0,,Always,499,1,Social Media,Never,Mid-Range,Realme GT 2 Pro,5,Yes,5500,Bank,No,"GPay, Upstox, CoinSwitch",Yes,5000,Yes,Yes,Vehicles,21.0,Yes,Savings,No,"Mutual Funds, Stocks, Fixed Deposits",No,22,41
Falguni Kaur,22,Amritsar,Yes,PostGraduate,Yes,29000,Yes,31,29000,Yes,7000,UPI,Sometimes,499,0,,Never,Mid-Range,Redmi Note 14 Pro,6,No,0,,No,Jar,No,0,No,Yes,Gadget,18.0,No,Credit Card,Yes,"Fixed Deposits, Stocks, Other",No,57,30
Tanish Balasubramanian,23,Visakhapatnam,Yes,UnderGraduate,Yes,12000,Yes,16,9500,Yes,11500,UPI,Sometimes,399,0,,Never,Budget,Redmi Note 10,10,Yes,2500,Bank,Yes,,No,0,No,No,,,Yes,Savings,No,"Fixed Deposits, Stocks",No,48,6
Falguni Bhardwaj,19,Dehradun,Yes,UnderGraduate,Yes,14000,Yes,11,14000,Yes,10500,UPI,Always,299,0,,Never,Budget,Realme Narzo N55,6,No,0,,No,Paytm,Yes,3000,No,No,,,Yes,Savings,Yes,"Fixed Deposits, Mutual Funds, Other",Yes,23,23
Gopal Sankar,25,Bhopal,Yes,PostGraduate,No,0,Yes,26,6500,Yes,9000,UPI,Always,499,0,,Never,Mid-Range,Samsung M33 5G,7,No,0,,No,Groww,No,0,No,Yes,Gadget,18.0,No,Friends,No,,No,10,4
Dalbir Babu,20,Coimbatore,Yes,UnderGraduate,No,0,Yes,27,2500,Yes,6500,UPI,Always,299,0,,Never,Mid-Range,Poco X3 Pro,9,No,0,,No,"GPay, CoinSwitch",No,0,Yes,No,,,No,Credit Card,No,Other,Yes,17,9
Lila Chokshi,25,Mysuru,Yes,PostGraduate,Yes,27000,No,0,29000,Yes,7000,Cash,Always,399,2,"Music, Educational",Never,Flag-Ship,Samsung A23,9,No,0,,Yes,"Upstox, Groww",No,0,Yes,No,,,No,Friends,No,,No,60,20
Janya Dyal,18,Mumbai,Yes,UnderGraduate,Yes,28000,No,0,25000,Yes,9000,Bank Transfer,Always,499,0,,Never,Mid-Range,Moto G82,5,Yes,3000,Bank,No,"Upstox, CoinSwitch, Groww",No,0,No,Yes,Travel,11.0,Yes,Savings,No,,Yes,51,29
Benjamin Salvi,22,Mumbai,Yes,UnderGraduate,Yes,37000,Yes,14,35000,Yes,17500,Bank Transfer,Always,399,2,"Music, Educational",Never,Mid-Range,Realme Narzo 30,10,Yes,5500,Bank,No,Groww,No,0,No,Yes,Travel,20.0,No,BNPL,No,Stocks,No,30,38
Nathan Hayer,24,Tiruchirappalli,Yes,UnderGraduate,No,0,Yes,11,2500,Yes,11000,UPI,Always,299,0,,Never,Budget,Realme Narzo 30,5,No,0,,No,"Upstox, PhonePe",Yes,5000,No,No,,,No,Friends,No,,No,50,30
Jalsa Seshadri,20,Hyderabad,Yes,UnderGraduate,Yes,36000,Yes,35,29000,Yes,16500,UPI,Always,499,0,,Never,Mid-Range,Poco X5 Pro,7,Yes,8500,Bank,Yes,"Jar, GPay, Fi",No,0,Yes,Yes,Vehicles,12.0,Yes,Savings,No,Fixed Deposits,No,45,44
Charvi Mani,18,Kochi,Yes,UnderGraduate,Yes,29000,Yes,11,26000,No,0,,Always,399,1,Music,Never,Budget,Realme GT 2 Pro,3,Yes,3500,Investment Products,Yes,Jar,Yes,6000,No,Yes,Gadget,6.0,No,Credit Card,No,Other,No,40,11
Nicholas Wali,22,Chandigarh,Yes,UnderGraduate,Yes,42000,Yes,25,31500,No,0,,Sometimes,399,1,Others,Sometimes,Budget,Moto G60,5,Yes,13000,Bank,No,"Groww, Jar, Others",No,0,No,Yes,Other,15.0,No,Other,No,,Yes,46,27
Yutika Tella,23,Patna,Yes,PostGraduate,Yes,35000,Yes,24,37500,No,0,,Sometimes,399,0,,Never,Flag-Ship,Redmi Note 10,4,No,0,,Yes,"Upstox, GPay, Others",No,0,No,No,,,No,BNPL,Yes,"PPF, Fixed Deposits",No,41,19
Sarthak Borra,23,Surat,Yes,PostGraduate,Yes,34000,Yes,27,22000,Yes,13500,Bank Transfer,Always,299,2,"Educational, Music",Never,Budget,Poco X6 Neo,5,Yes,10500,Bank,No,,Yes,4000,No,Yes,Gadget,20.0,No,Other,No,"Stocks, PPF",Yes,30,5
Rachana Issac,24,Ranchi,Yes,UnderGraduate,Yes,76000,Yes,30,57000,Yes,10000,UPI,Always,399,0,,Never,Budget,Samsung A52,6,Yes,25500,Bank,Yes,"GPay, Groww",No,0,No,Yes,Other,22.0,Yes,Savings,No,"Other, Mutual Funds",No,15,15
Yauvani Borah,18,Mysuru,Yes,UnderGraduate,No,0,Yes,33,4000,No,0,,Always,299,0,,Never,Budget,Redmi Note 11,4,No,0,,Yes,"Groww, Paytm",No,0,No,Yes,Travel,18.0,Yes,Savings,No,"PPF, Fixed Deposits",Yes,37,17
Lopa Dash,18,Jamshedpur,Yes,UnderGraduate,Yes,37000,No,0,37500,Yes,9000,Cash,Always,599,0,,Never,Budget,Poco F4,7,No,0,,No,CoinSwitch,Yes,3500,Yes,Yes,Travel,19.0,Yes,Savings,No,"Mutual Funds, PPF, Stocks",No,59,17
Barkha Sekhon,23,Srikakulam,Yes,PostGraduate,Yes,14000,No,0,12500,Yes,8000,Bank Transfer,Always,299,0,,Never,Mid-Range,Redmi Note 10,3,Yes,2000,Cash,No,CoinSwitch,No,0,Yes,Yes,Gadget,13.0,Yes,Savings,No,PPF,No,10,26
Ekansh Jani,25,Ahmedabad,Yes,PostGraduate,No,0,Yes,19,2500,No,0,,Always,399,0,,Never,Flag-Ship,Moto G14,9,Yes,2500,Bank,Yes,Fi,No,0,No,Yes,Gadget,11.0,Yes,Savings,No,,Yes,33,4
Ranbir Bail,24,Faridabad,Yes,PostGraduate,Yes,31000,Yes,31,31000,Yes,13000,Bank Transfer,Always,499,0,,Never,Mid-Range,Poco X6 Neo,8,No,0,,Yes,"Upstox, Others, Fi",No,0,No,No,,,No,Other,No,,Yes,23,12
Anvi Salvi,24,Jaipur,Yes,UnderGraduate,Yes,30000,Yes,15,19500,No,0,,Always,499,1,Music,Never,Mid-Range,Redmi 10 Prime,9,Yes,9000,Bank,Yes,"Paytm, Upstox",Yes,7000,No,Yes,Other,11.0,Yes,Savings,No,"Other, Mutual Funds",No,11,22
Lavanya Shanker,25,Ahmedabad,Yes,PostGraduate,Yes,35000,Yes,23,26500,No,0,,Always,299,0,,Never,Mid-Range,Redmi Note 11,8,Yes,7000,Bank,No,"Paytm, Jar, PhonePe, CoinSwitch",No,0,Yes,Yes,Emergency Fund,22.0,No,Savings,No,,Yes,29,21
Liam Banerjee,22,Shimla,Yes,UnderGraduate,Yes,18000,Yes,32,18500,No,0,,Always,499,3,"Educational, Others, Music",Never,Mid-Range,Moto G40 Fusion,9,No,0,,No,CoinSwitch,No,0,No,Yes,Gadget,19.0,No,BNPL,Yes,,Yes,56,38
Farhan Atwal,23,Nagpur,Yes,PostGraduate,Yes,23000,Yes,24,25000,Yes,4000,Cash,Always,299,0,,Never,Budget,Moto G60,7,No,0,,No,GPay,No,0,No,No,,,Yes,Savings,No,Fixed Deposits,Yes,15,47
Nakul Nigam,21,Tiruchirappalli,Yes,UnderGraduate,Yes,56000,Yes,16,59500,No,0,,Sometimes,499,1,Music,Sometimes,Mid-Range,Realme Narzo 60 Pro,5,No,0,,No,"Groww, CoinSwitch, GPay",No,0,No,No,,,Yes,Savings,Yes,,No,58,45
Ubika Balan,24,Jamshedpur,Yes,PostGraduate,Yes,26000,Yes,29,28000,Yes,10000,Bank Transfer,Always,599,0,,Never,Mid-Range,Poco F4,9,No,0,,Yes,"CoinSwitch, Paytm",No,0,No,No,,,Yes,Savings,No,,Yes,30,33
Jasmit Sidhu,20,Ahmedabad,Yes,UnderGraduate,No,0,Yes,34,3500,No,0,,Always,399,1,Others,Sometimes,Mid-Range,Samsung M51,9,No,0,,Yes,"Jar, Groww",No,0,No,No,,,No,Friends,No,,No,53,44
Vanya Pingle,18,Jaipur,Yes,UnderGraduate,No,0,Yes,24,5500,Yes,5500,Cash,Always,299,0,,Never,Mid-Range,Samsung M32,10,Yes,2500,Bank,Yes,Upstox,No,0,No,No,,,Yes,Savings,No,,Yes,47,23
Balveer Goda,18,Jodhpur,Yes,UnderGraduate,Yes,35000,Yes,16,32500,No,0,,Always,399,1,Others,Sometimes,Flag-Ship,Poco F5,3,Yes,5000,Bank,No,"Paytm, Fi, CoinSwitch, Others",Yes,2000,No,Yes,Emergency Fund,14.0,Yes,Savings,No,,Yes,33,47
Madhav Venkataraman,24,Udaipur,Yes,PostGraduate,Yes,29000,Yes,25,20500,Yes,11500,Bank Transfer,Always,599,2,"Educational, Streaming",Sometimes,Mid-Range,Redmi Note 10,9,Yes,7500,Cash,Yes,"Groww, CoinSwitch",No,0,Yes,Yes,Travel,19.0,No,Friends,No,,No,10,34
Ekta Sule,23,Salem,Yes,PostGraduate,Yes,17000,Yes,27,18000,No,0,,Never,499,0,,Never,Budget,Samsung M14 5G,5,No,0,,Yes,"GPay, Others",Yes,2500,No,Yes,Gadget,7.0,No,Friends,No,Other,No,17,9
Triya Prashad,21,Nagpur,Yes,UnderGraduate,Yes,19000,Yes,30,20000,Yes,4000,Bank Transfer,Always,249,1,Others,Never,Mid-Range,Moto G30,8,No,0,,No,"Paytm, Others",No,0,No,No,,,Yes,Savings,No,"PPF, Other, Fixed Deposits",No,60,40
Janani Bala,18,Ajmer,Yes,UnderGraduate,Yes,43000,Yes,13,33500,No,0,,Always,249,2,"Streaming, Music",Never,Mid-Range,Samsung A73,4,Yes,12500,Bank,Yes,,No,0,No,Yes,Travel,13.0,Yes,Savings,No,Mutual Funds,No,22,13
Vedhika Kala,23,Ghaziabad,Yes,PostGraduate,Yes,42000,Yes,11,32500,Yes,5500,Bank Transfer,Always,299,3,"Social Media, Streaming, Educational",Never,Budget,Samsung M21,4,Yes,10500,Bank,Yes,"PhonePe, Paytm",No,0,No,Yes,Emergency Fund,12.0,No,Credit Card,No,Other,Yes,31,23
Vyanjana Sule,18,Ajmer,Yes,UnderGraduate,No,0,Yes,25,7000,Yes,7000,Bank Transfer,Always,399,0,,Never,Mid-Range,Moto Edge 20,3,No,0,,Yes,"Others, Fi",Yes,3000,No,Yes,Travel,14.0,No,Savings,No,,No,18,7
Faras Bala,20,Bhubaneswar,Yes,UnderGraduate,No,0,Yes,32,8500,Yes,11500,UPI,Always,199,0,,Never,Budget,Samsung M21,8,No,0,,No,Jar,No,0,No,No,,,Yes,Savings,Yes,"Mutual Funds, Stocks",Yes,41,25
Kritika Kunda,18,Jamshedpur,Yes,UnderGraduate,Yes,22000,Yes,19,22500,Yes,6500,UPI,Never,399,0,,Never,Budget,Moto G60,7,No,0,,No,"PhonePe, Others",No,0,No,No,,,No,Savings,No,,No,40,41
Kevin Saha,25,Tiruchirappalli,Yes,PostGraduate,No,0,Yes,21,6500,No,0,,Always,499,0,,Never,Mid-Range,Redmi Note 13,5,No,0,,Yes,"Upstox, Groww",No,0,No,Yes,Emergency Fund,3.0,No,BNPL,No,"Mutual Funds, PPF, Stocks",Yes,59,44
Warinder Bal,23,Coimbatore,Yes,UnderGraduate,Yes,33000,Yes,10,32000,Yes,6000,Bank Transfer,Always,399,1,Educational,Never,Mid-Range,Realme Narzo 60 Pro,7,No,0,,Yes,"Others, Fi, Paytm",No,0,Yes,Yes,Vehicles,3.0,No,Friends,No,Fixed Deposits,No,43,15
